datetime,open,high,low,close,volume
2022-03-25,173.88,175.28,172.75,174.72,80546200
2022-03-28,172.17,175.73,172.00,175.60,90371900
2022-03-29,176.69,179.01,176.34,178.96,100589400
2022-03-30,178.55,179.61,176.70,177.77,92633200
2022-03-31,177.84,178.03,174.40,174.61,103049300
2022-04-01,174.03,174.88,171.94,174.31,78751300
2022-04-04,174.57,178.49,174.44,178.44,76545900
2022-04-05,177.50,178.30,174.42,175.06,73401800
2022-04-06,172.36,173.63,170.13,171.83,89058800
2022-04-07,171.16,173.36,169.85,172.14,77594700
2022-04-08,171.78,171.78,169.20,170.09,76226600
2022-04-11,168.71,169.03,165.50,165.75,72246700
2022-04-12,168.02,169.87,166.64,167.66,79265200
2022-04-13,167.39,170.40,166.77,170.40,70618900
2022-04-14,170.62,171.27,165.04,165.29,75329400
2022-04-18,163.92,166.60,163.57,165.07,69023900
2022-04-19,165.02,167.82,163.91,167.40,67723800
2022-04-20,168.76,168.88,166.10,167.23,67929800
2022-04-21,168.91,171.53,165.91,166.42,87227800
2022-04-22,166.46,167.87,161.50,161.79,84882400
2022-04-25,161.12,163.17,158.46,162.88,96046400
2022-04-26,162.25,162.34,156.72,156.80,95623200
2022-04-27,155.91,159.79,155.38,156.57,88063200
2022-04-28,159.25,164.52,158.93,163.64,130216800
2022-04-29,161.84,166.20,157.25,157.65,131747600
2022-05-02,156.71,158.23,153.27,157.96,123055300
2022-05-03,158.15,160.71,156.32,159.48,88966500
2022-05-04,159.67,166.48,159.26,166.02,108256500
2022-05-05,163.85,164.08,154.95,156.77,130525300
2022-05-06,156.01,159.44,154.18,157.28,116124600
2022-05-09,154.93,155.83,151.49,152.06,131577900
2022-05-10,155.52,156.74,152.93,154.51,115366700
2022-05-11,153.50,155.45,145.81,146.50,142689800
2022-05-12,142.77,146.20,138.80,142.56,182602000
2022-05-13,144.59,148.10,143.11,147.11,113990900
2022-05-16,145.55,147.52,144.18,145.54,86643800
2022-05-17,148.86,149.77,146.68,149.24,78336300
2022-05-18,146.85,147.36,139.90,140.82,109742900
2022-05-19,139.88,141.66,136.60,137.35,136095600
2022-05-20,139.09,140.70,132.61,137.59,137426900
2022-05-23,137.79,143.26,137.65,143.11,117726300
2022-05-24,140.81,141.97,137.33,140.36,107061400
2022-05-25,139.35,141.79,138.34,140.52,92482700
2022-05-26,137.39,144.34,137.14,143.78,90601500
2022-05-27,145.39,149.68,145.26,149.64,90986500
2022-05-31,149.07,150.66,146.84,148.84,103718400
2022-06-01,149.90,151.74,147.68,148.71,74286600
2022-06-02,147.83,151.39,146.86,151.21,72348100
2022-06-03,146.90,147.97,144.46,145.38,88570300
2022-06-06,147.03,148.57,144.90,146.14,71598400
2022-06-07,144.35,149.00,144.10,148.71,67808200
